id,error,error_type,name,time,memory,username
235," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,C,0.012432941999999999,780,u4cse16109
247," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ encoding.c:7:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ encoding.c:8:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%s"",str); ^~~~~~~~~~~~~~~ ",WA,C,0.009020538,780,u4cse16143
248," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.09125146099999999,2700,u4cse16140
249," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,C,0.0063594440000000006,780,u4cse16103
252," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,C,0.004642299,780,u4cse16103
253," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.004486585,780,u4cse16102
258," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.07837449,2700,u4cse16140
259," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,C,0.004313167,780,u4cse16103
267," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,C,0.066148863,2700,u4cse16140
279," ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,C,0.005560455,780,u4cse16136
