id,error,error_type,name,time,memory,username
68163, coni.h: No such file or directory #include&lt;coni.h&gt; ^~~~~~~~ compilation terminated. ,CI,C,0.012101583,780,cbenu4cse19101
68167, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.010091682,780,cbenu4cse19006
69435, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,WA,C,0.006038394,780,cbenu4cse19137
69597," ""stdio.h"": No such file or directory #include&lt;""stdio.h""&gt; ^~~~~~~~~~~ compilation terminated. ",CI,C,0.008317244,780,19156
69634, stdio.: No such file or directory #include&lt;stdio.&gt; ^~~~~~~~ compilation terminated. ,CI,C,0.00510661,780,CBENU4ECE19050
72013, stio.h: No such file or directory #include&lt;stio.h&gt; ^~~~~~~~ compilation terminated. ,CI,C,0.011683983,780,ELC19040
73791, iostream.h: No such file or directory #include&lt;iostream.h&gt; ^~~~~~~~~~~~ compilation terminated. ,WA,C,0.013407373,780,cbenu4cse19101
75414, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.013631575,780,cbenu4aee19040
75690, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,WA,C,0.01744984,780,manoj_achyutha_2002
75691, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.013500179,780,ELC19058
76962, stidio.h: No such file or directory #include&lt;stidio.h&gt; ^~~~~~~~~~ compilation terminated. ,CI,C,0.013037401,780,cbenu4cse19101
77055, stidio.h: No such file or directory #include&lt;stidio.h&gt; ^~~~~~~~~~ compilation terminated. ,CI,C,0.013537912,780,hd04
98717, srdio.h: No such file or directory #include&lt;srdio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.028038333999999998,780,cbenu4cse19265
98718, srdio.h: No such file or directory #include&lt;srdio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.027864716,780,cbenu4cse19238
109865, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.023487985,780,cbenu4ece19026
109866, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.025925748,780,cbenu4ece19026
109867, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.022017861,780,cbenu4ece19026
109868, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.022612885,780,cbenu4ece19026
115460, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.014286541000000002,780,cbenu4cie19006
115567, stdioh: No such file or directory #include &lt;stdioh&gt; ^~~~~~~~ compilation terminated. ,CI,C,0.012975216999999999,780,cbenu4cie19026
119138, stblib.h: No such file or directory #include&lt;stblib.h&gt; ^~~~~~~~~~ compilation terminated. ,CI,C,0.21692973899999998,780,elc19041
119853, conio.h: No such file or directory #include&lt;conio.h&gt; ^~~~~~~~~ compilation terminated. ,CI,C,0.018061294,780,cbenu4cie19001
122109, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.036471894,780,cbenmee19244
122249, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.023624715,780,cb_en_u4mee19224
122250, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.023678407000000002,780,cb_en_u4mee19217
122265, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.024912414,780,cb_enu4mee19252
122269, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.023044994,780,cb_en_u4mee19254
122270, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.024608558,780,CB_EN_U4MEE19208
122274, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.39716902,780,cb_enu4mee19245
122275, stdio.h : No such file or directory #include &lt; stdio.h &gt; ^~~~~~~~~~~ compilation terminated. ,CI,C,0.015090386,780,CB_EN_MEE19219
